"ID","SENSOR_NAME","READING","UNIT"
1135,"ESP32-S3-METRO",25,"Celsius"
1134,"ESP32-S3-METRO",25,"Celsius"
1133,"ESP32-S3-METRO",25,"Celsius"
1132,"ESP32-S3-METRO",25,"Celsius"
1131,"ESP32-S3-METRO",25,"Celsius"
1130,"ESP32-S3-METRO",25,"Celsius"
1129,"ESP32-S3-METRO",25,"Celsius"
1128,"ESP32-S3-METRO",25,"Celsius"
1127,"ESP32-S3-METRO",25,"Celsius"
1126,"ESP32-S3-METRO",25,"Celsius"
1125,"ESP32-S3-METRO",25,"Celsius"
1124,"ESP32-S3-METRO",25,"Celsius"
1123,"ESP32-S3-METRO",25,"Celsius"
1122,"ESP32-S3-METRO",25,"Celsius"
1121,"ESP32-S3-METRO",25,"Celsius"
1120,"ESP32-S3-METRO",25,"Celsius"
1119,"ESP32-S3-METRO",25,"Celsius"
1118,"ESP32-S3-METRO",25,"Celsius"
1117,"ESP32-S3-METRO",25,"Celsius"
1116,"ESP32-S3-METRO",25,"Celsius"
1115,"ESP32-S3-METRO",25,"Celsius"
1114,"ESP32-S3-METRO",25,"Celsius"
1113,"ESP32-S3-METRO",25,"Celsius"
1112,"ESP32-S3-METRO",25,"Celsius"
1111,"ESP32-S3-METRO",25,"Celsius"
1110,"ESP32-S3-METRO",25,"Celsius"
1109,"ESP32-S3-METRO",25,"Celsius"
1108,"ESP32-S3-METRO",25,"Celsius"
1107,"ESP32-S3-METRO",25,"Celsius"
1106,"ESP32-S3-METRO",25,"Celsius"
1105,"ESP32-S3-METRO",25,"Celsius"
1104,"ESP32-S3-METRO",25,"Celsius"
1103,"ESP32-S3-METRO",25,"Celsius"
1102,"ESP32-S3-METRO",25,"Celsius"
1101,"ESP32-S3-METRO",25,"Celsius"
1100,"ESP32-S3-METRO",25,"Celsius"
1099,"ESP32-S3-METRO",25,"Celsius"
1098,"ESP32-S3-METRO",25,"Celsius"
1097,"ESP32-S3-METRO",25,"Celsius"
1096,"ESP32-S3-METRO",25,"Celsius"
1095,"ESP32-S3-METRO",25,"Celsius"
1094,"ESP32-S3-METRO",25,"Celsius"
1093,"ESP32-S3-METRO",25,"Celsius"
1092,"ESP32-S3-METRO",25,"Celsius"
1091,"ESP32-S3-METRO",25,"Celsius"
1090,"ESP32-S3-METRO",25,"Celsius"
1089,"ESP32-S3-METRO",25,"Celsius"
1088,"ESP32-S3-METRO",25,"Celsius"
1087,"ESP32-S3-METRO",25,"Celsius"
1086,"ESP32-S3-METRO",25,"Celsius"
1085,"ESP32-S3-METRO",25,"Celsius"
1084,"ESP32-S3-METRO",25,"Celsius"
1083,"ESP32-S3-METRO",25,"Celsius"
1082,"ESP32-S3-METRO",25,"Celsius"
1081,"ESP32-S3-METRO",25,"Celsius"
1080,"ESP32-S3-METRO",25,"Celsius"
1079,"ESP32-S3-METRO",25,"Celsius"
1078,"ESP32-S3-METRO",25,"Celsius"
1077,"ESP32-S3-METRO",25,"Celsius"
1076,"ESP32-S3-METRO",25,"Celsius"
1075,"ESP32-S3-METRO",25,"Celsius"
1074,"ESP32-S3-METRO",25,"Celsius"
1073,"ESP32-S3-METRO",25,"Celsius"
1072,"ESP32-S3-METRO",25,"Celsius"
1071,"ESP32-S3-METRO",25,"Celsius"
1070,"ESP32-S3-METRO",25,"Celsius"
1069,"ESP32-S3-METRO",25,"Celsius"
